country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Rwanda,2016,uniqueid_4104,Rural,Yes,4,40,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_4047,Urban,Yes,6,39,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_2821,Rural,No,1,76,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1664,Rural,Yes,8,26,Female,Spouse,Married/Living together,Primary education,No Income
Rwanda,2016,uniqueid_308,Rural,Yes,6,38,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_4746,Rural,Yes,3,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_2042,Urban,Yes,1,66,Male,Head of Household,Married/Living together,Tertiary education,Self employed
Kenya,2018,uniqueid_614,Urban,Yes,4,39,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_3728,Rural,No,2,63,Male,Head of Household,Married/Living together,Primary education,Other Income
Kenya,2018,uniqueid_4948,Urban,Yes,2,34,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_1140,Rural,Yes,5,53,Female,Head of Household,Divorced/Seperated,Primary education,Other Income
Kenya,2018,uniqueid_969,Urban,Yes,6,88,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_5599,Rural,Yes,7,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7031,Rural,Yes,3,22,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_826,Rural,Yes,6,23,Female,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_5980,Rural,Yes,4,28,Male,Head of Household,Married/Living together,No formal education,Other Income
Kenya,2018,uniqueid_5464,Urban,Yes,4,33,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_8092,Rural,Yes,3,29,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1418,Rural,Yes,4,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3671,Urban,Yes,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_4697,Urban,Yes,1,57,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_3546,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4448,Urban,Yes,2,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4027,Rural,Yes,5,39,Female,Spouse,Married/Living together,Primary education,Dont Know/Refuse to answer
Kenya,2018,uniqueid_867,Rural,Yes,8,35,Male,Head of Household,Married/Living together,Vocational/Specialised training,Remittance Dependent
Rwanda,2016,uniqueid_5384,Rural,Yes,2,56,Female,Head of Household,Married/Living together,Secondary education,Formally employed Government
Rwanda,2016,uniqueid_5267,Rural,Yes,5,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_5955,Rural,Yes,8,68,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1719,Rural,No,2,40,Male,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
Tanzania,2017,uniqueid_516,Rural,Yes,1,55,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_4202,Urban,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_2506,Rural,Yes,7,28,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_3853,Rural,No,6,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_360,Rural,Yes,7,49,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2481,Rural,Yes,2,33,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_3610,Rural,Yes,2,41,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_6279,Rural,Yes,7,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_2534,Urban,Yes,10,35,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_7924,Rural,Yes,6,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_135,Rural,Yes,1,64,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_3672,Rural,Yes,3,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_5682,Rural,No,4,23,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_107,Urban,Yes,3,43,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,uniqueid_1205,Urban,No,1,40,Female,Head of Household,Married/Living together,Primary education,No Income
Kenya,2018,uniqueid_1718,Urban,Yes,1,25,Male,Head of Household,Single/Never Married,Tertiary education,Other Income
Uganda,2018,uniqueid_1640,Rural,Yes,8,30,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_5334,Rural,Yes,9,39,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_5175,Rural,Yes,4,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2097,Rural,Yes,3,44,Female,Spouse,Single/Never Married,Primary education,Other Income
Tanzania,2017,uniqueid_461,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_7036,Rural,Yes,7,46,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_3515,Rural,Yes,1,68,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_3146,Rural,Yes,5,50,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_740,Rural,Yes,6,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6180,Urban,Yes,1,60,Female,Head of Household,Widowed,Primary education,Self employed
Rwanda,2016,uniqueid_8704,Rural,Yes,5,27,Female,Spouse,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_3947,Urban,No,1,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1988,Rural,Yes,2,40,Female,Spouse,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_1193,Rural,Yes,4,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1282,Rural,Yes,1,33,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Rwanda,2016,uniqueid_2651,Rural,Yes,4,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_1887,Rural,Yes,6,41,Female,Spouse,Married/Living together,Primary education,Formally employed Private
Tanzania,2017,uniqueid_4760,Rural,No,5,19,Female,Parent,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_5090,Urban,Yes,1,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_4258,Urban,No,5,19,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_4283,Urban,Yes,6,25,Male,Child,Single/Never Married,Tertiary education,Remittance Dependent
Rwanda,2016,uniqueid_2588,Rural,Yes,4,34,Female,Child,Divorced/Seperated,Primary education,Farming and Fishing
Uganda,2018,uniqueid_1254,Rural,No,5,25,Female,Spouse,Married/Living together,No formal education,No Income
Tanzania,2017,uniqueid_3025,Urban,Yes,3,30,Female,Spouse,Single/Never Married,No formal education,Informally employed
Tanzania,2017,uniqueid_5086,Urban,Yes,3,67,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_1615,Rural,Yes,5,51,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2397,Urban,No,1,56,Male,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_2011,Urban,Yes,3,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1642,Rural,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_1565,Rural,Yes,8,50,Male,Head of Household,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,uniqueid_2883,Rural,Yes,1,23,Female,Head of Household,Married/Living together,Tertiary education,Self employed
Rwanda,2016,uniqueid_4744,Rural,Yes,4,39,Female,Head of Household,Widowed,Primary education,Informally employed
Tanzania,2017,uniqueid_2459,Urban,No,3,26,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1332,Rural,Yes,6,40,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8355,Rural,Yes,5,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4883,Urban,No,1,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_5043,Urban,No,2,32,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_5053,Rural,Yes,3,63,Male,Head of Household,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_542,Urban,Yes,2,20,Female,Spouse,Married/Living together,No formal education,Other Income
Uganda,2018,uniqueid_1937,Rural,Yes,8,60,Female,Spouse,Married/Living together,No formal education,Other Income
Tanzania,2017,uniqueid_2942,Urban,Yes,1,60,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_5407,Rural,Yes,3,45,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_2623,Rural,Yes,5,25,Female,Spouse,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_4842,Rural,Yes,6,38,Female,Other relative,Widowed,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_2138,Rural,Yes,6,37,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_1722,Rural,No,3,74,Male,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_1492,Urban,Yes,2,21,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8686,Rural,Yes,3,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_6215,Rural,No,3,22,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4954,Rural,Yes,1,32,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_4638,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_1867,Rural,Yes,5,40,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_5585,Urban,Yes,3,28,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_4391,Urban,Yes,1,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_640,Urban,Yes,4,22,Male,Other relative,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_3739,Rural,Yes,1,70,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3154,Urban,Yes,2,22,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Rwanda,2016,uniqueid_1768,Rural,Yes,3,30,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
Kenya,2018,uniqueid_5504,Rural,Yes,3,60,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_888,Rural,Yes,3,21,Female,Child,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_67,Rural,Yes,1,68,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_114,Urban,Yes,1,29,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
Rwanda,2016,uniqueid_5789,Rural,Yes,3,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_51,Urban,Yes,3,16,Male,Parent,Divorced/Seperated,Primary education,Informally employed
Uganda,2018,uniqueid_1170,Rural,Yes,4,29,Female,Spouse,Married/Living together,Secondary education,Other Income
Kenya,2018,uniqueid_1559,Rural,No,1,76,Male,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_35,Rural,Yes,5,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2406,Urban,Yes,2,20,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_5231,Rural,Yes,1,19,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_605,Rural,Yes,4,20,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_8421,Rural,No,3,80,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_2591,Rural,Yes,3,68,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1045,Urban,Yes,1,19,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_5455,Rural,Yes,4,29,Male,Head of Household,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_1096,Urban,Yes,3,28,Male,Head of Household,Single/Never Married,Secondary education,Other Income
Kenya,2018,uniqueid_5811,Rural,Yes,1,60,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5542,Rural,Yes,7,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_1406,Rural,Yes,6,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7700,Rural,Yes,4,25,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_4677,Rural,Yes,9,46,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_1483,Rural,Yes,2,20,Female,Spouse,Married/Living together,Primary education,Other Income
Kenya,2018,uniqueid_1591,Urban,Yes,1,44,Female,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_5122,Rural,Yes,5,39,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Uganda,2018,uniqueid_343,Rural,No,2,22,Female,Spouse,Married/Living together,Primary education,No Income
Kenya,2018,uniqueid_14,Rural,No,8,31,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_4029,Rural,Yes,3,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_3123,Urban,Yes,6,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_5823,Rural,Yes,5,50,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_7807,Rural,Yes,8,46,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
